item_id,shop_id,price,price_min,price_max,currency,sold,rating,discount,likes,is_mall,is_preferred,has_video,url
41068409513,898301886,1050000.0,1050000.0,2853000.0,VND,179,4.85,44,120,True,False,True,https://shopee.vn/product/898301886/41068409513
29540491611,206824363,935000.0,935000.0,1045000.0,VND,6,5,23,4,False,True,True,https://shopee.vn/product/206824363/29540491611
28918809840,1367701657,967120.0,967120.0,967120.0,VND,227,5,12,157,True,False,False,https://shopee.vn/product/1367701657/28918809840
43767927895,164018338,960000.0,960000.0,1185000.0,VND,91,4.6,26,59,True,False,True,https://shopee.vn/product/164018338/43767927895
41425369180,463778355,850000.0,850000.0,850000.0,VND,0,0,0,0,False,False,True,https://shopee.vn/product/463778355/41425369180
52604835791,841960607,826200.0,826200.0,826200.0,VND,15,4.89,15,5,True,False,False,https://shopee.vn/product/841960607/52604835791
27625784437,1367701657,870320.0,870320.0,870320.0,VND,3,5,12,12,True,False,False,https://shopee.vn/product/1367701657/27625784437
25688820722,1367701657,870320.0,870320.0,870320.0,VND,126,4.97,12,43,True,False,False,https://shopee.vn/product/1367701657/25688820722
29017902806,1367701657,791120.0,791120.0,791120.0,VND,111,5,12,42,True,False,False,https://shopee.vn/product/1367701657/29017902806
43567275341,1459492344,798120.0,798120.0,798120.0,VND,80,4.86,19,66,True,False,False,https://shopee.vn/product/1459492344/43567275341
43767268579,1459492344,754920.0,754920.0,754920.0,VND,140,4.93,23,122,True,False,True,https://shopee.vn/product/1459492344/43767268579
46153087919,1662862997,620331.0,620331.0,620331.0,VND,0,0,29,0,False,False,False,https://shopee.vn/product/1662862997/46153087919
47055796502,200798952,579000.0,579000.0,579000.0,VND,0,0,36,0,False,True,True,https://shopee.vn/product/200798952/47055796502
28691397948,1119206366,568650.0,568650.0,568650.0,VND,3,0,15,3,False,False,False,https://shopee.vn/product/1119206366/28691397948
28991339992,1367701657,615120.0,615120.0,615120.0,VND,14,5,12,16,True,False,False,https://shopee.vn/product/1367701657/28991339992
42417921552,164018338,624000.0,624000.0,849000.0,VND,340,4.84,36,106,True,False,True,https://shopee.vn/product/164018338/42417921552
56350815458,839351478,525000.0,525000.0,525000.0,VND,3,5,25,1,False,True,True,https://shopee.vn/product/839351478/56350815458
40918334397,1367701657,562320.0,562320.0,562320.0,VND,108,4.76,12,71,True,False,False,https://shopee.vn/product/1367701657/40918334397
26441580377,1119206366,509150.0,509150.0,509150.0,VND,3,5,15,0,False,False,False,https://shopee.vn/product/1119206366/26441580377
50906325195,1673811767,490909.0,490909.0,490909.0,VND,0,0,50,0,False,False,True,https://shopee.vn/product/1673811767/50906325195
